指标名称,子行业,时间口径,数值,数值单位,方向,跟踪要点,来源
酒店RevPAR指数同比,酒店,2025全年,-3,%（指数同比）,承压,2025年行业“弱恢复”：RevPAR指数-3%、OCC指数-3%、ADR指数-1%；五一/十一峰值超2024同期，休闲有韧性、商务承压,国金证券FY25&26Q1业绩总结（引STR）2026-05-05
全国酒店房间数同比,酒店,2026-W17（约4月底）,6.5,% 同比,下行,房间供给增速自2025年11月高点8.9%回落至6.5%，投资回收期延长、新建减少的滞后影响兑现，供需关系边际改善,国金证券FY25&26Q1业绩总结（引酒店之家）2026-05-05
首旅酒店RevPAR同比,酒店,2026Q1,0.8,%（全部酒店）,转正,全部酒店RevPAR 125元/+0.8%、ADR 214元/+0.8%、OCC 58.3%持平；不含轻管理RevPAR 143元/+1.7%，趋势向好,国金证券FY25&26Q1业绩总结 2026-05-05
锦江境内有限服务酒店RevPAR同比,酒店,2026Q1,3.68,%,上行,境内RevPAR 142.59元/+3.68%、ADR+1.40%、OCC+1.37pct；境外RevPAR 32.2欧元/-6.8%仍承压,国金证券FY25&26Q1业绩总结 2026-05-05
离岛免税销售额同比,免税,2025-09 起,,,转正,海南离岛免税25M9起增速同比转正；折扣缩减、货币升值带动利润率提升，海南封关打开空间,国金证券FY25&26Q1业绩总结 2026-05-05
中国中免海南地区收入同比,免税,2026Q1,28.26,%,上行,高端消费回暖+消费回流，海南红利显著；中免整体毛利率同比+0.65pct，利润率持续修复,国金证券FY25&26Q1业绩总结 2026-05-05
航空旅客量同比,OTA,2026-07-15~18,7.3,%,上行,航班数据转正、供需价格同步转正；燃油附加费下调后机票均价同比+20.6%（较7月初回落12.5pct），出行链景气回升,国金证券商社周观点（2026-08）
国内居民出游人次同比,旅游,2025全年,16.2,%,高景气,出游人次高增，旅游高景气维持；但客单价与二次消费仍有压力，客流恢复体现在“量”,国金证券FY25&26Q1业绩总结（文旅部口径）2026-05-05
旅游板块收入同比,旅游,2026Q1,10.5,%,上行,26Q1板块收入+10.5%，景区业绩集体改善，丽江股份、长白山等表现亮眼；休闲游景气延续,国金证券FY25&26Q1业绩总结（板块口径）2026-05-05
餐饮收入同比,餐饮,2026M6,1.2,%,上行,6月餐饮收入+1.2%（环比+0.6pct）、限额以上餐饮+0.1%；社零高基数下稳健上行，行业需求筑底恢复,国金证券商社周观点（引统计局）2026-08
国考报名人数与考研对比,教育,2026年度,,,上行,国考报名人数首次超过考研，公考竞争加剧、景气度高；职业教育政策频出，人服稳健向上,国金证券FY25&26Q1业绩总结 2026-05-05
黄金珠宝板块收入同比,黄金珠宝,2026Q1,-3,%,分化,板块收入-3%但归母净利同比+35%；金价波动下品牌业绩分化，悦己/时尚品牌（老铺、潮宏基等）韧性强,国金证券FY25&26Q1业绩总结（板块口径）2026-05-05
跨境电商板块收入同比,跨境电商与出海,2026Q1,14,%,上行,板块收入+14%回暖、利润分化明显；头部品牌与平台公司更具韧性，性价比需求持续,国金证券FY25&26Q1业绩总结（板块口径）2026-05-05
出口同比增速,跨境电商与出海,2026M6,27,%,上行,6月出口+27%超预期，带动补库周期与板块收入修复；美国关税退款预期进一步改善出口链现金流,国金证券商社周观点（引海关总署）2026-08
美国线上零售同比,跨境电商与出海,2026年近期,14,%,上行,美国线上零售+14%，线上渠道优势凸显，出海性价比需求韧性持续,国金证券商社周观点（2026-08）
线下零售板块收入同比,商超与线下零售,2026Q1,1.2,%,转正,收入结束连续两年下滑转正（+1.2%），归母净利同比+25.02%，利润修复快于收入，专业连锁高速增长,国金证券FY25&26Q1业绩总结（板块口径）2026-05-05
百货板块收入同比,商超与线下零售,2026Q1,-4.23,%,承压,百货收入同比-4.23%仍承压；但调改个股（国芳集团、东百集团等）利润显著增长，结构性机会为主,国金证券FY25&26Q1业绩总结（板块口径）2026-05-05
商超景气,商超与线下零售,2026Q1,,,企稳,商超下行趋缓、调改类向上；永辉式精选零售调改深化，关注单店模型验证与扩店节奏,国金证券商社景气指标跟踪 2026-05-05
人服景气,人服,2026Q1,,,上行,人服稳健向上：招聘需求筑底回暖、灵活用工渗透率提升；稳就业政策持续支持,国金证券商社景气指标跟踪 2026-05-05
专业连锁板块收入,商超与线下零售,2026Q1,,,高景气,专业连锁板块高速增长，为线下零售中结构性最强方向,国金证券FY25&26Q1业绩总结（板块口径）2026-05-05
