公司名称,证券代码,市场,子行业,覆盖级别,现价(元),总市值(亿元·本币),市值折CNY(亿元),PE(TTM),PB,年初至今涨跌(%),核心逻辑,数据日期,周涨跌(%)
锦江酒店,600754.SH,A股,酒店,核心推荐,19.59,194.31,194.31,18.95,1.31,-20.6,酒店龙头，26Q1扣非净利创Q1新高（归母+280%），提质改革重塑核心竞争力；RevPAR趋势向上、周期修复受益,2026-09-08T00:00:00Z,
首旅酒店,600258.SH,A股,酒店,核心推荐,12.02,134.22,134.22,15.7,1.12,-25.59,26Q1利润超预期（扣非+31.8%），经营优化+费用下降；2026年新开1600-1700家目标，RevPAR同比转正,2026-09-08T00:00:00Z,
君亭酒店,301073.SZ,A股,酒店,一般跟踪,21.18,41.18,41.18,155.89,4.64,-18.73,中高端精选酒店，26Q1净利扭亏改善（+135%）；弹性标的，跟踪RevPAR、直营爬坡与拓店节奏,2026-09-08T00:00:00Z,
亚朵集团,ATAT.O,美股,酒店,核心推荐,33.28,45.28,323.75,15.69,9.14,-15.08,中高端酒店+场景零售模式，加盟扩张与零售第二曲线；关注RevPAR韧性、零售GMV与开店节奏（个人核心覆盖）,2026-09-08T00:00:00Z,
华住集团-S,1179.HK,港股,酒店,核心推荐,35.2,1090.61,1003.36,18.81,6.73,-0.18,连锁酒店成长龙头，FY25收入+5.9%/归母+66.7%率先恢复；2026新开2200-2300家，管理与加盟扩张共振,2026-09-08T00:00:00Z,
中国中免,601888.SH,A股,免税,核心推荐,54.59,1119.86,1119.86,27.71,1.97,-41.76,免税龙头，高端消费筑底回暖；海南离岛免税增速转正+折扣缩减，毛利率连续修复，政策与封关催化,2026-09-08T00:00:00Z,
携程集团-S,9961.HK,港股,OTA,重点跟踪,324.2,2321,2135.32,6.5,1.24,-41.48,OTA龙头，FY25净利+95%；入境游（2000万人次）与海外业务第二曲线；反垄断调查压制估值，关注落地,2026-09-08T00:00:00Z,
同程旅行,0780.HK,港股,OTA,一般跟踪,11.51,270.98,249.3,9.52,1,-47.68,下沉市场OTA龙头，高性价比+微信生态获客；估值处低位，观察收入增长与竞争格局,2026-09-08T00:00:00Z,
丽江股份,002033.SZ,A股,旅游,一般跟踪,9.44,51.87,51.87,20.61,2.08,7.34,丽江区域旅游龙头（索道+演艺+酒店），26Q1客流与业绩改善亮眼；关注暑期旺季与二次消费,2026-09-08T00:00:00Z,
长白山,603099.SH,A股,旅游,一般跟踪,39.4,107.31,107.31,80.89,7.34,-12.37,冰雪+避暑双旺季稀缺景区标的，客流高景气；估值高位，需业绩兑现消化,2026-09-08T00:00:00Z,
