标题,日期,类型,覆盖板块,相关标的,摘要,文件名,下载链接
20260903 锦江酒店26H1业绩交流会,2026-09-03T00:00:00Z,业绩会,酒店,锦江酒店 600754.SH,26H1营收68.01亿/+4.21%，归母净利5.45亿/+47.05%，扣非5.93亿/+45.16%，经营现金流21.03亿/+57.95%；境内有限服务型收入47.48亿/+6.65%、净利7.26亿/+21.22%。H1新开649家/净增272家，期末在营14404家，加盟占比95%；境内直营上半年减亏超1亿，7、8月直营RevPAR分别+5%、+9%。Q2线上直销率39.3%首超OTA，全年目标接近40%。,20260903 锦江酒店26H1业绩交流会.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260903%20%E9%94%A6%E6%B1%9F%E9%85%92%E5%BA%9726H1%E4%B8%9A%E7%BB%A9%E4%BA%A4%E6%B5%81%E4%BC%9A.docx"",""text"":""下载纪要""}"
20260903 中国中免小范围交流纪要,2026-09-03T00:00:00Z,公司调研,免税,中国中免 601888.SH,海棠湾三期定名「中免三亚太古里」拟12月18日开街，2026年投资者开放日12月17日海口举行。Q2海南折扣收窄约3pct，叠加销售改善与汇率正贡献，带动毛利率继续修复，7月初步表现仍较好；精品占比各季度同比提升约5-6pct。北京、上海机场6月销售转正，浦东机场苹果免税店9月3日开业；日上线上恢复慢于线下，将以「中免电商」统一品牌承接Q4大促。,20260903 中国中免小范围交流纪要.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260903%20%E4%B8%AD%E5%9B%BD%E4%B8%AD%E5%85%8D%E5%B0%8F%E8%8C%83%E5%9B%B4%E4%BA%A4%E6%B5%81%E7%BA%AA%E8%A6%81.docx"",""text"":""下载纪要""}"
20260831 首旅酒店26H1业绩交流会,2026-08-31T00:00:00Z,业绩会,酒店,首旅酒店 600258.SH,26Q2全部酒店RevPAR 142元/-1.0%小幅承压；H1新开606家（标准管理300家、轻管理302家），期末在营8013家/客房56.2万间，标准店房量占比约71%、中高端客房占比42.3%。H1营收35.80亿/-2.22%，但酒店管理收入占比由30.9%升至34.7%，推动毛利率由38.4%升至40.3%。上半年中央渠道贡献占比+2.2pct，结束连续约六个季度下降；AI颗粒化诊断已覆盖近4000家门店。,20260831 首旅酒店26H1业绩交流会.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260831%20%E9%A6%96%E6%97%85%E9%85%92%E5%BA%9726H1%E4%B8%9A%E7%BB%A9%E4%BA%A4%E6%B5%81%E4%BC%9A.docx"",""text"":""下载纪要""}"
20260826 华图山鼎26H1业绩交流会,2026-08-26T00:00:00Z,业绩会,教育,华图山鼎 300492.SZ,26H1国考及多省联考招录人数合计同比-14%，公告后备考周期缩短致笔试收入-38%，短期承压。6月末合同负债9.62亿，较年初+22.19%，其中非协议类+31.98%。考编直通车3-6月招生近2万人/+38%，书院培优+5%。管理费用因员工持股计划终止形成一次性股份支付5463万，剔除后同比-1.31%。地市基地约130个、总面积59.2万平米；AI面试点评成本约为人工1/60。,20260826 华图山鼎26H1业绩交流会.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260826%20%E5%8D%8E%E5%9B%BE%E5%B1%B1%E9%BC%8E26H1%E4%B8%9A%E7%BB%A9%E4%BA%A4%E6%B5%81%E4%BC%9A.docx"",""text"":""下载纪要""}"
20260807 OTA专家携程反垄断交流,2026-08-07T00:00:00Z,专家纪要,"OTA,酒店",携程 9961.HK / 华住 1179.HK / 锦江 600754.SH / 首旅 600258.SH / 亚朵 ATAT.O,携程新规取消付费买流量与「全网最低价」，流量分配转向产品力、服务与用户体验，利好华住/锦江/首旅/亚朵等头部连锁，依赖付费流量的民宿与单体酒店获客难度上升。酒店可自主选择佣金率，最高约15%（此前叠加特牌等综合达25-26%），若降至10%可直接转化为酒店及加盟商利润。定价权回归酒店，但或加剧单体酒店价格竞争；新规已实际执行，部分连锁要求8月1日起降至10%。,20260807 OTA专家携程反垄断交流.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260807%20OTA%E4%B8%93%E5%AE%B6%E6%90%BA%E7%A8%8B%E5%8F%8D%E5%9E%84%E6%96%AD%E4%BA%A4%E6%B5%81.docx"",""text"":""下载纪要""}"
20260702 中国东方教育经营情况交流,2026-07-02T00:00:00Z,公司调研,教育,中国东方教育 0667.HK,「十五五」规划强化职教支持，学历贬值下部分复读生转向职教；公司生源覆盖14-55岁，与人口红利关联度不高。2026年利润+20%需满足招生人数+5%、新生收款+15%；截至6月3日整体人数+7%、收款+15%。1-2年制高技能课程增速超50%（高收费专业超60%），美业与汽车板块为主要增长来源。校区利用率约75%-76%，成本与管理费用基本平稳。,20260702 中国东方教育经营情况交流.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260702%20%E4%B8%AD%E5%9B%BD%E4%B8%9C%E6%96%B9%E6%95%99%E8%82%B2%E7%BB%8F%E8%90%A5%E6%83%85%E5%86%B5%E4%BA%A4%E6%B5%81.docx"",""text"":""下载纪要""}"
20260622 端午免税数据总结及展望,2026-06-22T00:00:00Z,公司调研,免税,中国中免 601888.SH,端午海南离岛免税呈前高后低：三天免税销售同比+12%/+7%/-2%；企业口径假期三天整体销售+44%，其中免税销售+6%、进店人数+3%、购物人数+4%。品类端香化6月1-20日占比33%、同比-6%（前5个月占比35%、同比+14%），需关注香化走弱与精品占比提升的结构切换，以及下半年店庆、消费券等政策催化。,20260622 端午免税数据总结及展望.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260622%20%E7%AB%AF%E5%8D%88%E5%85%8D%E7%A8%8E%E6%95%B0%E6%8D%AE%E6%80%BB%E7%BB%93%E5%8F%8A%E5%B1%95%E6%9C%9B.docx"",""text"":""下载纪要""}"
20260610 焦点科技26H1中期策略会,2026-06-10T00:00:00Z,策略会,跨境电商与出海,焦点科技 002315.SZ,累计约3万家付费会员，年营收约19-20亿；预收款模式下约2/3收入与合同负债相关，现金收款与净利润目标均每年+20%。2022年末起由传统B2B电商向AI营销平台转型：卖家端「AI麦可」助快速发布与多模态编辑，买家端 Sourcing AI 2.0 已开放约1%客户试用。26Q1全站买家流量同比+24%，增量主要来自中东、拉美、东南亚等新兴市场。,20260610 焦点科技26H1中期策略会.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260610%20%E7%84%A6%E7%82%B9%E7%A7%91%E6%8A%8026H1%E4%B8%AD%E6%9C%9F%E7%AD%96%E7%95%A5%E4%BC%9A.docx"",""text"":""下载纪要""}"
20260603 中国东方教育线上反路演,2026-06-03T00:00:00Z,公司调研,教育,中国东方教育 0667.HK,公司拥有230个办学牌照，已建及在建区域中心共7个，采用「置换模式」（搬入新校区同步退租旧租赁校区）对冲新增折旧摊销，安徽自建成本约为租赁的1/3。2026年资本开支约6亿，2027年进一步下降，2028年回到3-4亿常态。校区盈亏平衡线约60%利用率，2000人规模校区净利率可近30%；合肥等大规模区域中心学生可达六七千人。,20260603 中国东方教育线上反路演.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260603%20%E4%B8%AD%E5%9B%BD%E4%B8%9C%E6%96%B9%E6%95%99%E8%82%B2%E7%BA%BF%E4%B8%8A%E5%8F%8D%E8%B7%AF%E6%BC%94.docx"",""text"":""下载纪要""}"
20260430 中国中免26Q1业绩交流会,2026-04-30T00:00:00Z,业绩会,免税,中国中免 601888.SH,Q1海南收入同比接近+30%，春节表现为近几年最好，三亚国际免税城大年初二单日进店9.2万人次创开业以来新高，增长主要来自购物人次。毛利率提升至33.63%，源于折扣收窄、精品/黄金占比提升、低毛利业务占比下降及人民币升值。海南服饰/腕表/珠宝合计占比已超50%。北京、上海机场重新招投标后租金提成率下降；DFS并购整合平稳。,20260430 中国中免26Q1业绩交流会.docx,"{""link"":""https://workbuddy-space-static.codebuddy.work/page/6IEy7lPITJUGj27rYj7O5L/0/20260430%20%E4%B8%AD%E5%9B%BD%E4%B8%AD%E5%85%8D26Q1%E4%B8%9A%E7%BB%A9%E4%BA%A4%E6%B5%81%E4%BC%9A.docx"",""text"":""下载纪要""}"
